"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","11251","57","0","2015","A","",35,208,7903887,1988275,37117,732,38045,"",3.29,2.41,3.03,1.94,2.28,1.26,1.26,"",-2,-5.4,3,1.5,460078,6.2,74085,3.9,1911,5.4,35,5.0,1807,5.0
"01003","5","11251","77","0","2015","A","N",1,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","11251","77","0","2015","A","N",2,0,0,0,0,0,0,"N",26.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","11251","77","0","2015","A","N",1,0,0,0,0,0,0,"N",23.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","11251","77","0","2015","A","",5,24,700683,257598,4350,561,29195,"",373.44,302.09,406.65,342.79,245.65,1.34,1.35,"",-1,-16.7,-1,-4.0,14393,2.1,11658,4.7,-373,-7.9,28,5.3,1466,5.3
"01065","5","11251","77","0","2015","A","N",15,0,0,0,0,0,0,"N",615.56,0,0,0,0,0,0,"N",-2,-11.8,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","11251","77","0","2015","A","N",1,0,0,0,0,0,0,"N",3.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","11251","77","0","2015","A","N",3,0,0,0,0,0,0,"N",3.47,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","11251","77","0","2015","A","N",1,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","5","11251","77","0","2015","A","N",3,0,0,0,0,0,0,"N",221.12,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
