area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
1000,5,11251,57,0,2016,A,,34,191,7807881,1813717,24993,788,40968,,3.19,2.19,2.78,1.7,1.93,1.27,1.27,,-1,-2.9,-17,-8.2,-96006,-1.2,-174558,-8.8,-12124,-32.7,56,7.7,2923,7.7
1003,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,1.97,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,26.93,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,23.56,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,5,11251,77,0,2016,A,,5,18,599508,156291,1062,650,33775,,363.03,226.62,313.77,188.44,77.35,1.41,1.4,,0,0,-6,-25,-101175,-14.4,-101307,-39.3,-3288,-75.6,89,15.9,4580,15.7
1065,5,11251,77,0,2016,A,,12,65,2439369,630800,7044,726,37771,,517.52,522.99,773.99,508.63,457.06,1.49,1.49,N,-3,-20,0,0,0,0,0,0,0,0,0,0,0,0
1081,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,3.73,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,22.28,0,0,0,0,0,0,N,1,100,0,0,0,0,0,0,0,0,0,0,0,0
1097,5,11251,77,0,2016,A,N,3,0,0,0,0,0,0,N,3.46,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,1.8,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,5,11251,77,0,2016,A,N,4,0,0,0,0,0,0,N,299.92,0,0,0,0,0,0,N,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
1117,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,2.02,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,97.22,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5,11251,57,0,2016,A,,33,312,13151833,9552269,199429,810,42108,,17.17,21.02,22.95,16.73,24.05,1.09,1.09,,0,0,1,0.3,152934,1.2,384537,4.2,-24778,-11.1,6,0.7,288,0.7
2110,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,10.25,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,11.59,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,5,11251,77,0,2016,A,N,8,0,0,0,0,0,0,N,152.96,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,47.4,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,139.05,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,5,11251,77,0,2016,A,,3,8,291133,266737,4096,722,37566,,143.4,84.91,107.34,84.64,84.24,1.3,1.31,,0,0,-5,-38.5,-119445,-29.1,-78065,-22.6,-3530,-46.3,111,18.2,5779,18.2
2220,5,11251,77,0,2016,A,N,4,0,0,0,0,0,0,N,120.44,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261,5,11251,77,0,2016,A,N,7,0,0,0,0,0,0,N,143.14,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,241.51,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2282,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,244.08,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2999,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,15.82,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,5,11251,57,0,2016,A,N,3,0,0,0,0,0,0,N,0.23,0,0,0,0,0,0,N,-1,-25,0,0,0,0,0,0,0,0,0,0,0,0
4005,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,3.47,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,5,11251,77,0,2016,A,N,2,0,0,0,0,0,0,N,0.24,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,5,11251,57,0,2016,A,,48,383,13954579,5363232,190970,700,36403,,6.23,7.06,8.6,5.89,13.39,1.22,1.22,,-3,-5.9,-23,-5.7,534459,4,-22168,-0.4,5705,3.1,64,10.1,3328,10.1
5003,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,20.27,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5007,5,11251,77,0,2016,A,N,1,0,0,0,0,0,0,N,1.88,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
