"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","11411","57","0","2016","A","",19,35,1030219,358832,5036,567,29505,"",0.72,0.42,0.20,0.20,0.09,0.47,0.47,"",1,5.6,-3,-7.9,-11256,-1.1,-6470,-1.8,-3560,-41.4,41,7.8,2158,7.9
"01003","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","11411","77","0","2016","A","N",3,0,0,0,0,0,0,"N",52.11,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","11411","77","0","2016","A","N",15,0,0,0,0,0,0,"N",6.97,0,0,0,0,0,0,"N",1,7.1,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","11411","57","0","2016","A","N",108,0,0,0,0,0,0,"N",22.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02013","5","11411","77","0","2016","A","N",4,0,0,0,0,0,0,"N",177.71,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","11411","77","0","2016","A","",4,16,2309975,684925,16552,2776,144373,"",110.67,99.65,180.95,38.32,21.53,1.82,1.82,"",0,0.0,2,14.3,-352572,-13.2,57635,9.2,-1184,-6.7,-994,-26.4,-51643,-26.3
"02020","5","11411","77","0","2016","A","N",11,0,0,0,0,0,0,"N",6.14,0,0,0,0,0,0,"N",1,10.0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",39.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02100","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",29.24,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",4.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02122","5","11411","77","0","2016","A","",19,39,2432514,2301752,59615,1212,63046,"",44.34,45.48,43.02,45.17,30.06,0.96,0.96,"",-1,-5.0,-4,-9.3,-263471,-9.8,-198986,-8.0,-15911,-21.1,-6,-0.5,-265,-0.4
"02130","5","11411","77","0","2016","A","N",2,0,0,0,0,0,0,"N",15.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02150","5","11411","77","0","2016","A","",31,52,5615628,3869135,94548,2077,107993,"",295.93,192.51,348.88,224.45,131.66,1.81,1.81,"",-2,-6.1,-9,-14.8,-368424,-6.2,-198470,-4.9,-18413,-16.3,180,9.5,9355,9.5
"02164","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",35.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02195","5","11411","77","0","2016","A","",7,9,574598,499510,12988,1205,62683,"",196.02,163.59,178.21,147.24,74.18,1.07,1.07,"",0,0.0,-8,-47.1,-1090390,-65.5,-970386,-66.0,-31405,-70.7,-688,-36.3,-35740,-36.3
"02220","5","11411","77","0","2016","A","",3,5,367711,306567,7970,1326,68946,"",36.38,27.69,33.41,32.34,20.11,1.13,1.13,"",0,0.0,-1,-16.7,-37999,-9.4,-70843,-18.8,-3428,-30.1,26,2.0,1328,2.0
"02261","5","11411","77","0","2016","A","",17,16,635491,586067,15237,776,40349,"",140.01,77.13,40.93,41.17,27.65,0.54,0.54,"",1,6.2,1,6.7,-23471,-3.6,-38997,-6.2,-3643,-19.3,-88,-10.2,-4580,-10.2
"02275","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",48.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02999","5","11411","77","0","2016","A","N",5,0,0,0,0,0,0,"N",31.86,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","11411","57","0","2016","A","N",1,0,0,0,0,0,0,"N",0.03,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","11411","77","0","2016","A","N",1,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","11411","57","0","2016","A","N",1,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
