area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
1000,5,11411,57,0,2017,A,,19,38,1085672,370086,6970,556,28887,,0.71,0.45,0.19,0.2,0.13,0.43,0.43,,0,0,3,8.6,55453,5.4,11254,3.1,1934,38.4,-11,-1.9,-618,-2.1
1003,5,11411,77,0,2017,A,N,1,0,0,0,0,0,0,N,0.76,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,5,11411,77,0,2017,A,N,3,0,0,0,0,0,0,N,50.16,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,5,11411,77,0,2017,A,N,15,0,0,0,0,0,0,N,6.86,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5,11411,57,0,2017,A,N,102,0,0,0,0,0,0,N,21.56,0,0,0,0,0,0,N,-6,-5.6,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,11411,77,0,2017,A,N,3,0,0,0,0,0,0,N,134.91,0,0,0,0,0,0,N,-1,-25,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,11411,77,0,2017,A,,5,16,2462549,756951,16352,2929,152323,,131.58,107.64,194.25,46.33,24.63,1.79,1.79,,1,25,0,0,152574,6.6,72026,10.5,-200,-1.2,153,5.5,7950,5.5
2020,5,11411,77,0,2017,A,N,10,0,0,0,0,0,0,N,5.62,0,0,0,0,0,0,N,-1,-9.1,0,0,0,0,0,0,0,0,0,0,0,0
2060,5,11411,77,0,2017,A,N,1,0,0,0,0,0,0,N,40.63,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,5,11411,77,0,2017,A,N,1,0,0,0,0,0,0,N,29.88,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,5,11411,77,0,2017,A,N,1,0,0,0,0,0,0,N,4.09,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,5,11411,77,0,2017,A,,16,23,1796107,1654433,36893,1502,78092,,37.09,26.81,30.47,33.45,20.29,1.14,1.14,,-3,-15.8,-16,-41,-636407,-26.2,-647319,-28.1,-22722,-38.1,290,23.9,15046,23.9
2130,5,11411,77,0,2017,A,N,2,0,0,0,0,0,0,N,15.31,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,5,11411,77,0,2017,A,,30,58,6964889,4232217,83713,2293,119228,,284.74,217.68,399.89,243.15,123.83,1.82,1.82,,-1,-3.2,6,11.5,1349261,24,363082,9.4,-10835,-11.5,216,10.4,11235,10.4
2164,5,11411,77,0,2017,A,N,1,0,0,0,0,0,0,N,37.97,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,5,11411,77,0,2017,A,,7,5,636530,514544,11075,2533,131696,,195.32,93.26,185.38,148.09,82.55,2.06,2.06,,0,0,-4,-44.4,61932,10.8,15034,3,-1913,-14.7,1328,110.2,69013,110.1
2220,5,11411,77,0,2017,A,,3,5,413446,340304,7429,1468,76328,,37.76,27.07,35.3,35.22,19.21,1.2,1.2,,0,0,0,0,45735,12.4,33737,11,-541,-6.8,142,10.7,7382,10.7
2261,5,11411,77,0,2017,A,,18,18,798437,704481,15642,853,44358,,151.04,84.42,46.52,45.7,26.87,0.55,0.55,,1,5.9,2,12.5,162946,25.6,118414,20.2,405,2.7,77,9.9,4009,9.9
2999,5,11411,77,0,2017,A,N,5,0,0,0,0,0,0,N,35.96,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,5,11411,57,0,2017,A,N,1,0,0,0,0,0,0,N,0.03,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,5,11411,77,0,2017,A,N,1,0,0,0,0,0,0,N,0.05,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,5,11411,57,0,2017,A,N,2,0,0,0,0,0,0,N,0.1,0,0,0,0,0,0,N,1,100,0,0,0,0,0,0,0,0,0,0,0,0
