Location,JAN,FEB,MAR,APR,APR,MAY,MAY,JUN,JUN,JUL,JUL,AUG,AUG,SEP,SEP,OCT,OCT,NOV,DEC
,,,,15-Jan,16-30,15-Jan,16-31,15-Jan,16-30,15-Jan,16-31,15-Jan,16-31,15-Jan,16-30,15-Jan,16-31,,
Anacapa Island,56,56,56,56,57,58,59,60,61,63,64,65,65,65,64,64,63,61,59
CA,,,,,,,,,,,,,,,,,,,
Avalon,58,57,58,58,59,60,62,62,64,66,67,69,70,69,68,68,66,63,60
CA,,,,,,,,,,,,,,,,,,,
Balboa,57,57,58,59,59,60,62,63,64,65,66,67,67,65,65,65,63,61,59
CA,,,,,,,,,,,,,,,,,,,
Dana Point,57,57,59,60,62,62,63,65,67,67,68,68,68,67,66,65,64,61,58
CA,,,,,,,,,,,,,,,,,,,
Gaviota,57,57,56,56,57,57,58,58,60,62,63,64,64,64,63,62,62,61,58
CA,,,,,,,,,,,,,,,,,,,
Los Angeles,58,58,60,60,60,61,61,62,64,65,67,68,68,67,66,66,66,64,60
CA,,,,,,,,,,,,,,,,,,,
Newport Beach,58,60,60,60,61,63,64,66,66,69,69,70,69,69,68,68,65,64,61
CA,,,,,,,,,,,,,,,,,,,
Oceanside,57,57,58,59,60,61,62,63,65,66,67,69,69,67,66,65,63,61,59
CA,,,,,,,,,,,,,,,,,,,
Oceanside Offshore,58,58,58,59,59,64,64,64,64,69,69,69,69,68,68,66,66,63,61
CA,,,,,,,,,,,,,,,,,,,
Point Mugu,57,57,56,55,54,55,56,58,58,59,60,62,61,61,62,62,60,60,59
CA,,,,,,,,,,,,,,,,,,,
Port Hueneme,56,56,56,56,56,57,57,58,60,60,62,62,62,62,62,62,61,60,58
CA,,,,,,,,,,,,,,,,,,,
San Clemente,57,57,58,58,59,60,61,63,63,64,66,68,67,66,66,65,63,61,58
CA,,,,,,,,,,,,,,,,,,,
San Diego,59,60,62,63,64,66,67,69,70,71,71,71,72,72,70,69,68,65,60
Bay CA,,,,,,,,,,,,,,,,,,,
San Nicolas Island,58,57,56,55,55,57,57,58,58,61,61,62,62,62,62,64,64,62,60
CA,,,,,,,,,,,,,,,,,,,
Santa Monica,57,57,58,58,59,60,61,63,65,66,67,68,68,67,66,65,63,61,59
CA,,,,,,,,,,,,,,,,,,,
Santa Barbara,56,57,57,58,58,59,60,61,62,63,63,64,65,64,64,64,62,60,57
CA,,,,,,,,,,,,,,,,,,,
Scripps Pier,58,57,58,59,60,61,63,64,65,66,67,68,68,66,66,65,63,61,59
CA,,,,,,,,,,,,,,,,,,,
Ventura,55,57,58,59,59,60,61,62,64,64,65,67,67,66,65,65,62,60,56
CA,,,,,,,,,,,,,,,,,,,
Zuma Beach,57,57,57,57,57,57,58,59,60,61,63,66,66,65,64,64,62,61,58
CA,,,,,,,,,,,,,,,,,,,
